_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
008.160125	+48.731266	008.160125	+48.731266	00323843+4843525	16.541	0.128	15.678	0.117	15.465	0.150	BBB	222	111	0s0	0	0
008.241843	+48.732494	008.241843	+48.732494	00325804+4843569	15.540	0.050	15.062	0.070	14.977	0.095	AAA	222	111	000	0	0
008.236394	+48.707317	008.236394	+48.707317	00325673+4842263	16.851	0.151	15.929	0.135	15.731	0.197	CBC	222	111	ppp	0	0
008.199862	+48.695103	008.199862	+48.695103	00324796+4841423	16.863	0.152	16.753		15.310		CUU	200	100	000	0	0
008.206485	+48.691467	008.206485	+48.691467	00324955+4841292	16.754	0.154	16.148	0.174	16.015	0.231	BCD	222	111	000	0	0
008.245118	+48.739201	008.245118	+48.739201	00325882+4844211	16.930	0.166	16.181	0.178	16.043	0.244	CCD	222	111	000	0	0
008.249450	+48.722668	008.249450	+48.722668	00325986+4843216	14.404	0.035	13.672	0.040	13.679	0.045	AAA	222	111	000	0	0
008.213158	+48.693340	008.213158	+48.693340	00325115+4841360	14.627	0.029	14.243	0.033	14.172	0.053	AAA	222	111	000	0	0
008.208228	+48.695133	008.208228	+48.695133	00324997+4841424	14.883	0.038	14.166	0.039	13.957	0.045	AAA	222	111	000	0	0
008.232379	+48.706722	008.232379	+48.706722	00325577+4842241	14.806	0.035	14.453	0.047	14.306	0.056	AAA	222	111	000	0	0
008.213715	+48.701340	008.213715	+48.701340	00325129+4842048	16.985	0.169	16.384	0.209	16.148	0.288	CDD	222	111	000	0	0
008.228122	+48.701500	008.228122	+48.701500	00325474+4842054	16.022	0.076	15.387	0.095	15.280	0.128	AAB	222	111	000	0	0
008.223860	+48.732628	008.223860	+48.732628	00325372+4843574	16.478	0.111	16.266	0.204	16.087	0.279	BCD	222	111	000	0	0
008.205417	+48.729084	008.205417	+48.729084	00324930+4843447	15.726	0.059	15.620	0.103	15.319	0.130	AAB	222	111	sss	0	0
008.187759	+48.713428	008.187759	+48.713428	00324506+4842483	15.518	0.048	15.235	0.068	15.197	0.118	AAB	222	111	000	0	0
008.190915	+48.708191	008.190915	+48.708191	00324581+4842294	14.383	0.029	14.061	0.040	14.004	0.049	AAA	222	111	000	0	0
008.192771	+48.715237	008.192771	+48.715237	00324626+4842548	14.190	0.026	13.781	0.030	13.708	0.039	AAA	222	111	000	0	0
008.195958	+48.747189	008.195958	+48.747189	00324702+4844498	16.688	0.140	15.788	0.121	15.503	0.158	BBC	222	111	000	0	0
008.223268	+48.703472	008.223268	+48.703472	00325358+4842124	15.843	0.067	15.608	0.114	15.420	0.136	ABB	222	111	000	0	0
008.200435	+48.702297	008.200435	+48.702297	00324810+4842082	15.446	0.053	15.062	0.069	14.740	0.089	AAA	222	111	000	0	0
008.205867	+48.720524	008.205867	+48.720524	00324940+4843138	15.009	0.040	14.414	0.050	14.159	0.051	AAA	222	111	000	0	0
008.206615	+48.705250	008.206615	+48.705250	00324958+4842189	12.646	0.023	12.255	0.023	12.205	0.019	AAA	222	111	000	0	0
008.209699	+48.706184	008.209699	+48.706184	00325032+4842222	16.545	0.130	15.805	0.148	15.464	0.166	BBC	222	111	ccc	0	0
008.214841	+48.730267	008.214841	+48.730267	00325156+4843489	14.608	0.035	14.082	0.039	13.967	0.042	AAA	222	111	ss0	0	0
008.210688	+48.720848	008.210688	+48.720848	00325056+4843150	16.716	0.139	16.075	0.165	16.097		BCU	220	110	000	0	0
008.206092	+48.723686	008.206092	+48.723686	00324946+4843252	15.050	0.043	14.455	0.044	14.245	0.057	AAA	222	111	000	0	0
008.303689	+48.749996	008.303689	+48.749996	00331288+4844599	16.593	0.121	15.787	0.127	15.831	0.221	BBD	222	111	000	0	0
008.287274	+48.708031	008.287274	+48.708031	00330894+4842289	11.948	0.023	11.405	0.023	11.309	0.021	AAA	222	111	000	0	0
008.294594	+48.734783	008.294594	+48.734783	00331070+4844052	13.229	0.023	12.744	0.024	12.623	0.024	AAA	222	111	000	0	0
008.290385	+48.746101	008.290385	+48.746101	00330969+4844459	16.740	0.129	15.898	0.141	15.640	0.182	BBC	222	111	000	0	0
008.293351	+48.701481	008.293351	+48.701481	00331040+4842053	15.988	0.072	15.604	0.106	15.627	0.181	AAC	222	111	000	0	0
008.302525	+48.703953	008.302525	+48.703953	00331260+4842142	12.602	0.022	12.482	0.023	12.442	0.019	AAA	222	111	000	0	0
008.309823	+48.730549	008.309823	+48.730549	00331435+4843499	14.936	0.034	14.456	0.051	14.505	0.068	AAA	222	111	000	0	0
008.308427	+48.745338	008.308427	+48.745338	00331402+4844432	16.102	0.082	15.628	0.104	15.776	0.217	ABD	222	111	000	0	0
008.306943	+48.690041	008.306943	+48.690041	00331366+4841241	16.687	0.142	16.161	0.188	16.010		BCU	220	110	000	0	0
008.286543	+48.731747	008.286543	+48.731747	00330877+4843542	16.481		15.608		15.383	0.150	UUB	002	001	00p	0	0
008.259040	+48.700260	008.259040	+48.700260	00330216+4842009	16.677	0.138	16.073	0.163	15.864		BCU	220	110	000	0	0
008.270681	+48.725670	008.270681	+48.725670	00330496+4843324	16.429	0.103	15.719	0.133	15.609	0.183	ABC	222	111	000	0	0
008.262877	+48.688156	008.262877	+48.688156	00330309+4841173	15.439	0.054	15.071	0.077	14.944	0.095	AAA	222	111	000	0	0
008.257038	+48.743393	008.257038	+48.743393	00330168+4844362	14.813	0.035	14.131	0.038	13.911	0.036	AAA	222	111	000	0	0
008.274915	+48.740791	008.274915	+48.740791	00330597+4844268	15.438	0.049	14.711	0.058	14.567	0.072	AAA	222	111	000	0	0
008.310907	+48.698250	008.310907	+48.698250	00331461+4841537	14.278	0.028	13.703	0.034	13.610	0.035	AAA	222	111	000	0	0
008.273555	+48.730976	008.273555	+48.730976	00330565+4843515	16.335	0.095	15.600	0.111	15.431	0.142	ABB	222	111	000	0	0
008.253594	+48.711834	008.253594	+48.711834	00330086+4842426	15.910	0.069	15.313	0.090	15.418	0.144	AAB	222	111	000	0	0
008.278785	+48.712177	008.278785	+48.712177	00330690+4842438	13.187	0.031	12.756	0.039	12.703	0.032	AAA	222	121	0c0	0	0
008.282192	+48.738968	008.282192	+48.738968	00330772+4844202	14.404	0.029	13.966	0.039	13.871	0.042	AAA	222	111	000	0	0
008.280321	+48.711205	008.280321	+48.711205	00330727+4842403	14.702	0.034	14.267	0.046	14.214	0.053	AAA	222	121	ccc	0	0
008.285055	+48.736633	008.285055	+48.736633	00330841+4844118	12.784	0.023	12.469	0.026	12.415	0.024	AAA	222	111	000	0	0
008.282607	+48.735233	008.282607	+48.735233	00330782+4844068	14.707	0.033	14.295	0.044	14.317	0.056	AAA	222	111	c00	0	0
008.365620	+48.717747	008.365620	+48.717747	00332774+4843038	16.579	0.118	16.298	0.189	15.780	0.202	BCC	222	111	000	0	0
008.364955	+48.725475	008.364955	+48.725475	00332758+4843317	15.926	0.071	15.288	0.074	15.203	0.119	AAB	222	111	000	0	0
008.319180	+48.743431	008.319180	+48.743431	00331660+4844363	15.062	0.037	14.755	0.052	14.680	0.075	AAA	222	111	000	0	0
008.365002	+48.742584	008.365002	+48.742584	00332760+4844333	13.988	0.026	13.649	0.030	13.659	0.036	AAA	222	111	000	0	0
008.369024	+48.737480	008.369024	+48.737480	00332856+4844149	12.251	0.021	11.949	0.021	11.893	0.019	AAA	222	111	000	0	0
008.374822	+48.721966	008.374822	+48.721966	00332995+4843190	15.383	0.052	14.757	0.052	14.632	0.083	AAA	222	111	000	0	0
008.316510	+48.747398	008.316510	+48.747398	00331596+4844506	15.259	0.045	14.577	0.046	14.351	0.056	AAA	222	111	000	0	0
008.359667	+48.741287	008.359667	+48.741287	00332632+4844286	16.366	0.104	15.857	0.124	15.696	0.177	ABC	222	111	000	0	0
008.331984	+48.690399	008.331984	+48.690399	00331967+4841254	14.246	0.028	14.006	0.030	13.876	0.040	AAA	222	111	000	0	0
008.364461	+48.691128	008.364461	+48.691128	00332747+4841280	16.705	0.134	16.346	0.186	15.811	0.198	BCC	222	111	000	0	0
008.329031	+48.716541	008.329031	+48.716541	00331896+4842595	12.765	0.021	12.548	0.021	12.490	0.024	AAA	222	111	000	0	0
008.334295	+48.732395	008.334295	+48.732395	00332023+4843566	16.218	0.100	15.725	0.109	15.483	0.156	ABC	222	111	000	0	0
008.350131	+48.702499	008.350131	+48.702499	00332403+4842089	14.999	0.038	14.960	0.054	14.957	0.090	AAA	222	111	000	0	0
008.354910	+48.699188	008.354910	+48.699188	00332517+4841570	15.908	0.069	15.179	0.072	15.261	0.138	AAB	222	111	000	0	0
008.347904	+48.723301	008.347904	+48.723301	00332349+4843238	15.884	0.070	15.480	0.080	15.552	0.168	AAC	222	111	000	0	0
008.320006	+48.707546	008.320006	+48.707546	00331680+4842271	15.878	0.070	15.278	0.086	14.981	0.108	AAA	222	111	000	0	0
008.389463	+48.746696	008.389463	+48.746696	00333347+4844481	16.836	0.154	16.290		15.814	0.240	CUD	202	101	000	0	0
008.390391	+48.720036	008.390391	+48.720036	00333369+4843121	13.094	0.022	12.687	0.026	12.639	0.024	AAA	222	111	000	0	0
008.383980	+48.748131	008.383980	+48.748131	00333215+4844532	15.320	0.047	14.829	0.050	14.727	0.077	AAA	222	111	000	0	0
008.378343	+48.712074	008.378343	+48.712074	00333080+4842434	16.748	0.153	16.328	0.192	17.007		BCU	220	110	000	0	0
008.390960	+48.744987	008.390960	+48.744987	00333383+4844419	16.215	0.090	15.512	0.094	15.350	0.135	AAB	222	111	000	0	0
008.393204	+48.700706	008.393204	+48.700706	00333436+4842025	16.823	0.145	17.363		16.295	0.323	CUD	202	101	000	0	0
008.378014	+48.694714	008.378014	+48.694714	00333072+4841409	15.617	0.060	14.951	0.069	15.050	0.100	AAA	222	111	000	0	0
008.433184	+48.743828	008.433184	+48.743828	00334396+4844377	16.126	0.086	15.570	0.097	15.348	0.134	AAB	222	111	000	0	0
008.432032	+48.748150	008.432032	+48.748150	00334368+4844533	16.283	0.100	15.863	0.130	15.685	0.185	ABC	222	111	000	0	0
008.398717	+48.718258	008.398717	+48.718258	00333569+4843057	17.112	0.211	16.025	0.152	15.667		CBU	220	110	000	0	0
008.426913	+48.691242	008.426913	+48.691242	00334245+4841284	14.454	0.030	13.913	0.034	13.912	0.040	AAA	222	111	000	0	0
008.420736	+48.690647	008.420736	+48.690647	00334097+4841263	16.852	0.154	16.125	0.174	15.956	0.239	CCD	222	111	000	0	0
008.424357	+48.747330	008.424357	+48.747330	00334184+4844503	16.618	0.122	16.037	0.135	15.496	0.163	BBC	222	111	000	0	0
008.422283	+48.726009	008.422283	+48.726009	00334134+4843336	14.988	0.037	14.557	0.041	14.525	0.066	AAA	222	111	000	0	0
008.402777	+48.731262	008.402777	+48.731262	00333666+4843525	16.736	0.150	16.271	0.184	15.856	0.217	BCD	222	111	000	0	0
008.418245	+48.710835	008.418245	+48.710835	00334037+4842390	16.450	0.101	16.198	0.182	15.919	0.222	BCD	222	111	000	0	0
008.403235	+48.717773	008.403235	+48.717773	00333677+4843039	16.584	0.123	16.120	0.164	15.977	0.244	BCD	222	111	000	0	0
008.405985	+48.702503	008.405985	+48.702503	00333743+4842090	14.800	0.032	14.355	0.044	14.363	0.068	AAA	222	111	000	0	0
008.411494	+48.708817	008.411494	+48.708817	00333875+4842317	16.535	0.121	16.318	0.191	15.718	0.179	BCC	222	111	000	0	0
008.468305	+48.748569	008.468305	+48.748569	00335239+4844548	16.218	0.090	15.926	0.142	15.723	0.200	ABC	222	111	000	0	0
008.469627	+48.724831	008.469627	+48.724831	00335271+4843293	14.357	0.026	14.018	0.035	13.936	0.045	AAA	222	111	000	0	0
